Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Jan-06,2780,2895.5,2670,2811.6,39623,3358,109309329,27061,68.3,225.5,31.6
Feb-06,2820,3399,2800,3056.45,77350,8001,242294622,42901,55.46,599,236.45
Mar-06,3075,3287.5,3040,3103.2,55500,4988,176800378,39229,70.68,247.5,28.2
Apr-06,3160,4051,3131,3456.15,131712,12834,496800616,59934,45.5,920,296.15
May-06,3550,3650,2747,2789.8,29158,4432,96482558,18375,63.02,903,-760.2
Jun-06,2860,2860,2025.2,2395.85,19944,3030,48817959,12863,64.5,834.8,-464.15
Jul-06,2439,2970,2400,2942.4,38013,2806,97822495,27924,73.46,570,503.4
Aug-06,2940,3835,2884.05,3708.3,83527,9440,288265551,44988,53.86,950.95,768.3
Sep-06,3667,4044,3667,3836.75,50404,5396,193931445,32615,64.71,377,169.75
Oct-06,3885,4770,3845,4185.5,107956,13788,477329035,45239,41.91,925,300.5
Nov-06,4213,4785,3795,4579.5,78540,10731,348341125,42899,54.62,990,366.5
Dec-06,4561,4645,3950,4303.5,43820,6459,191215322,20776,47.41,695,-257.5
Jan-07,4329,4425,4066.05,4075.25,31346,3830,133634962,18840,60.1,358.95,-253.75
Feb-07,4129,4150,3600,3720.5,17597,2346,69256762,12536,71.24,550,-408.5
Mar-07,3739,3740,3100,3341.5,52902,2290,183095497,47919,90.58,640,-397.5
Apr-07,3350,3865,3224.05,3678.45,30257,4305,106789871,15051,49.74,640.95,328.45
May-07,3695,4230,3640,4176.85,83685,3443,335305393,74756,89.33,590,481.85
Jun-07,4200,4263,3715.1,4045.65,13420,2530,53598453,8472,63.13,547.9,-154.35
Jul-07,4005.2,4374.45,3950,4096.9,34036,5003,142046076,18046,53.02,424.45,91.7
Aug-07,4050,4119.95,3720,3870.7,16870,2281,65607834,13044,77.32,399.95,-179.3
Sep-07,4200.1,4200.1,3700,3741.25,19486,2201,74419245,16582,85.1,500.1,-458.85
Oct-07,3789,8165.85,3635,8141.45,354039,46667,2097548226,150643,42.55,4530.85,4352.45
Nov-07,8438.45,8955.55,6055,7068.8,381291,76036,2946608757,130785,34.3,2900.55,-1369.65
Dec-07,7199,8299.5,6700,7220.65,187094,37532,1420896346,69817,37.32,1599.5,21.65
Jan-08,7300,7300,4108.25,4861.1,65185,18369,394670189,36832,56.5,3191.75,-2438.9
Feb-08,4923.7,5160,4100,4577.2,36713,10087,170054998,19927,54.28,1060,-346.5
Mar-08,4449,4589.9,3500,3973.6,34890,7978,140095726,21227,60.84,1089.9,-475.4
Apr-08,3999,4800,3825,4542.95,33403,9007,144657432,14655,43.87,975,543.95
May-08,4649,4850,3962,4061.95,25947,7054,113551871,13472,51.92,888,-587.05
Jun-08,4061,4148,3377,3406.35,19680,6097,74888132,10747,54.61,771,-654.65
Jul-08,3300,3751,3050,3397.05,23735,8397,79537348,10408,43.85,701,97.05
Aug-08,3355,3730,3300,3559.65,41025,11410,144993127,16734,40.79,430,204.65
Sep-08,3570,3625,2750,3106.5,18596,5799,60420532,10951,58.89,875,-463.5
Oct-08,3180,3188,1790,2043,33128,7089,79653079,20892,63.06,1398,-1137
Nov-08,2090,2320,1650.6,1694.65,36802,5571,67136920,27511,74.75,669.4,-395.35
Dec-08,1677.7,2149,1651.1,2002.45,23420,5978,44978715,10991,46.93,497.9,324.75
Jan-09,1981.4,2094.9,1552,1683.6,21026,5155,37099330,8653,41.15,542.9,-297.8
Feb-09,1649.9,1743.8,1550,1648.55,9228,2365,15274309,5510,59.71,193.8,-1.35
Mar-09,1616.9,1841,1501,1772.4,34541,3872,54943759,27993,81.04,340,155.5
Apr-09,1800,2359,1765,2233.6,40417,8290,87946037,19478,48.19,594,433.6
May-09,2211.25,3490,2201.4,3163,50216,10368,141092789,23032,45.87,1288.6,951.75
Jun-09,3220,3825,3170,3381.7,81295,14714,281873355,32948,40.53,655,161.7
Jul-09,3375,4947.7,3105,4625.5,212618,38490,882698102,54524,25.64,1842.7,1250.5
Aug-09,4700,4890,4100,4301.2,73067,16370,324089452,22740,31.12,790,-398.8
Sep-09,4300,5925,4138,5739,303543,56287,1585445225,91158,30.03,1787,1439
Oct-09,5730,6375,5184,5280.2,257213,50536,1523864083,73717,28.66,1191,-449.8
Nov-09,5269,6329.85,5190,5963.5,273895,54878,1633484142,69490,25.37,1139.85,694.5
Dec-09,6000,6899,5810,6034,504478,100771,3182404202,91389,18.12,1089,34
Jan-10,6100,6595,5600,5801.2,231626,45875,1437796799,69089,29.83,995,-298.8
Feb-10,5800,6230,5580,5660.95,94368,21177,556420291,27832,29.49,650,-139.05
Mar-10,5704.3,7324,5485,6814.75,461048,85736,3113420587,86886,18.85,1839,1110.45
Apr-10,6760,7365,6760,7091.05,233407,47893,1663374030,46800,20.05,605,331.05
May-10,7101,7624,6710.1,7322.6,173038,34265,1255954999,41277,23.85,913.9,221.6
Jun-10,7340,7999,7125,7730.85,233468,46657,1791540958,38040,16.29,874,390.85
Jul-10,7718.9,8037.7,7250,7313.05,127893,26556,993419167,33167,25.93,787.7,-405.85
Aug-10,7380,8300,7250,7601.45,213215,41787,1659478154,42705,20.03,1050,221.45
Sep-10,7643,9424,7610,8751.8,379675,86305,3364982968,62095,16.35,1814,1108.8
Oct-10,8799,9812,8750,9301.55,252296,55359,2357927264,45437,18.01,1062,502.55
Nov-10,9380,9750,7626.2,7855.1,124008,29394,1103551115,36126,29.13,2123.8,-1524.9
Dec-10,7800.1,8270,7000.15,7207.6,93206,21385,700830311,24937,26.75,1269.85,-592.5
Jan-11,7270,7529.3,5925,6061.95,100336,20371,689014329,40140,40.01,1604.3,-1208.05
Feb-11,6104,6340,5332,5657.6,79402,19142,469033061,21550,27.14,1008,-446.4
Mar-11,5700,7000,5665.5,6275.05,122939,31197,789042365,23695,19.27,1334.5,575.05
Apr-11,6335,7500,6290,7116.6,154183,35030,1083727945,24742,16.05,1210,781.6
May-11,7132,7200,6527,6796.05,73489,17589,512596899,15030,20.45,673,-335.95
Jun-11,6795,6977,6218,6723.6,90512,22857,602371603,17627,19.47,759,-71.4
Jul-11,6745,7950,6720.5,7209.35,146111,33988,1080404912,27480,18.81,1229.5,464.35
Aug-11,7199,7442,6200,6616.95,69047,18566,475407625,20231,29.3,1242,-582.05
Sep-11,6640,7375,6502.2,6590.4,71439,19085,497230743,18089,25.32,872.8,-49.6
Oct-11,6599,6955,6390,6823.5,27002,8405,179338424,8468,31.36,565,224.5
Nov-11,6845,7140,6330,6967.2,49620,13894,336354604,12826,25.85,810,122.2
Dec-11,7049,7730,6545,6991.35,91448,26046,654623896,30268,33.1,1185,-57.65
Jan-12,6964.6,7950,6471.6,7908.1,75763,18161,556005955,30494,40.25,1478.4,943.5
Feb-12,7900,10160.7,7805,9834.8,248203,67113,2300150490,69123,27.85,2355.7,1934.8
Mar-12,9929.95,10944,9453,9936.8,136998,44301,1380230413,28256,20.63,1491,6.85
Apr-12,9979.15,11570,9875.05,11459.5,184535,60685,2018724308,31703,17.18,1694.95,1480.35
May-12,11548.95,11548.95,9834.3,10929.3,105596,32096,1120812237,26664,25.25,1714.65,-619.65
Jun-12,10760,10900,9825,10033.15,54383,17395,565335307,10244,18.84,1075,-726.85
Jul-12,10066,10704,9555.65,9582.55,86741,24346,887814219,17047,19.65,1148.35,-483.45
Aug-12,9600,11298,9571,10067.85,113811,35738,1205933925,20677,18.17,1727,467.85
Sep-12,10141.15,10589.95,10003.25,10273.45,50056,13007,514587090,13781,27.53,586.7,132.3
Oct-12,10310.55,10698.2,9874,10169.4,41344,11887,425503128,10839,26.22,824.2,-141.15
Nov-12,10154.25,10950,9775,10915.8,50808,13456,526430489,17925,35.28,1175,761.55
Dec-12,10900,12832.95,10728.05,12806.85,103356,29250,1241955031,21732,21.03,2104.9,1906.85
Jan-13,12879.95,13850,12877,13151,66892,21000,895990450,13336,19.94,973,271.05
Feb-13,13160,13550,11312,11491.4,59006,19017,750088993,13521,22.91,2238,-1668.6
Mar-13,11448,13129.5,11011,11992.6,47966,16639,587768181,12225,25.49,2118.5,544.6
Apr-13,12000,14140,11434,13379.6,143931,28996,1849218290,13432,9.33,2706,1379.6
May-13,13500,15499.8,13250.8,14905.2,87377,31085,1283677673,15346,17.56,2249,1405.2
Jun-13,14900,15420,12201,12928.15,56855,23846,783371513,10682,18.79,3219,-1971.85
Jul-13,12924,14813,12052,13220.5,110923,55460,1499324574,19725,17.78,2761,296.5
Aug-13,13380,14330,12350.05,12888.85,59807,33381,790097234,12572,21.02,1979.95,-491.15
Sep-13,12980,13771.05,12699.95,13345.5,61018,33094,803825170,14576,23.89,1071.1,365.5
Oct-13,13454,15957.9,13297.5,15763,75655,39987,1131970756,14444,19.09,2660.4,2309
Nov-13,15696.2,18025,15685.3,17316.45,61827,30616,1045575315,11934,19.3,2339.7,1620.25
Dec-13,17460,20235,17121.05,19372.15,94838,49853,1812818932,12088,12.75,3113.95,1912.15
Jan-14,19350,20150,18600,19413.75,42733,22015,827621124,9077,21.24,1550,63.75
Feb-14,19415.7,20095,18700,19075.5,33162,17188,639935375,7538,22.73,1395,-340.2
Mar-14,19100,22592.45,19002,21739,47949,24452,1006806969,12009,25.05,3590.45,2639
